date,home_team,away_team,team_goals,player_team,own_goal,minute,player,assist1,assist2,OTgoal,ETgoal
"6/2/10","New York Red Bulls","Houston Dynamo","New York Red Bulls","New York Red Bulls","FALSE",94,"Juan Pablo Angel","","",0,0
"7/1/10","Toronto FC","Houston Dynamo","Toronto FC","Toronto FC","FALSE",84,"Dan Gargan","Fuad Ibrahim","",0,0
"8/8/10","Seattle Sounders","Houston Dynamo","Seattle Sounders","Seattle Sounders","FALSE",88,"Alvaro Fernandez","Fredy Montero","",0,0
"8/28/10","Colorado Rapids","Houston Dynamo","Colorado Rapids","Colorado Rapids","FALSE",23,"Conor Casey","","",0,0
"7/24/10","Columbus Crew","Houston Dynamo","Columbus Crew","Columbus Crew","FALSE",34,"Emilio Renteria","","",0,0
"5/13/10","Real Salt Lake","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",72,"Brian Mullan","Brad Davis","",0,0
"6/5/10","LA Galaxy","Houston Dynamo","LA Galaxy","LA Galaxy","FALSE",1,"Jovan Kirovski","Michael Stephens","Sean Franklin",0,0
"6/5/10","LA Galaxy","Houston Dynamo","LA Galaxy","LA Galaxy","FALSE",21,"Jovan Kirovski","Michael Stephens","Sean Franklin",0,0
"9/22/10","Sporting Kansas City","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",13,"Cam Weaver","Mike Chabala","Brad Davis",0,0
"5/8/10","Chivas USA","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",8,"Adrian Serioux","Brad Davis","",0,0
"9/22/10","Sporting Kansas City","Houston Dynamo","Sporting Kansas City","Sporting Kansas City","FALSE",96,"Josh Wolff","Michael Harrington","",0,0
"9/25/10","D.C. United","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",70,"Geoff Cameron","Brad Davis","",0,0
"9/22/10","Sporting Kansas City","Houston Dynamo","Sporting Kansas City","Sporting Kansas City","FALSE",71,"Ryan Smith","Michael Harrington","",0,0
"7/24/10","Columbus Crew","Houston Dynamo","Columbus Crew","Columbus Crew","FALSE",84,"Andy Iro","Guillermo Barros Schelotto","",0,0
"9/22/10","Sporting Kansas City","Houston Dynamo","Sporting Kansas City","Sporting Kansas City","FALSE",35,"Kei Kamara","Craig Rocastle","",0,0
"7/1/10","Toronto FC","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",72,"Brian Ching","Danny Cruz","",0,0
"10/2/10","Philadelphia Union","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",12,"Andre Hainault","","",0,0
"10/2/10","Philadelphia Union","Houston Dynamo","Philadelphia Union","Philadelphia Union","FALSE",40,"Sebastien Le Toux","Roger Torres","",0,0
"9/22/10","Sporting Kansas City","Houston Dynamo","Sporting Kansas City","Sporting Kansas City","FALSE",60,"Teal Bunbury","","",0,0
"8/28/10","Colorado Rapids","Houston Dynamo","Colorado Rapids","Colorado Rapids","FALSE",2,"Jamie Smith","Conor Casey","",0,0
"5/13/10","Real Salt Lake","Houston Dynamo","Real Salt Lake","Real Salt Lake","FALSE",3,"Robbie Findley","Kyle Beckerman","",0,0
"9/22/10","Sporting Kansas City","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",34,"Dominic Oduro","Cam Weaver","",0,0
"5/13/10","Real Salt Lake","Houston Dynamo","Real Salt Lake","Real Salt Lake","FALSE",60,"Alvaro Saborio","Javier Morales","",0,0
"9/22/10","Sporting Kansas City","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",37,"Adrian Serioux","","",0,0
"8/28/10","Colorado Rapids","Houston Dynamo","Colorado Rapids","Colorado Rapids","FALSE",16,"Omar Cummings","Pablo Mastroeni","Conor Casey",0,0
"6/5/10","LA Galaxy","Houston Dynamo","LA Galaxy","LA Galaxy","FALSE",48,"Tristan Bowen","","",0,0
"9/25/10","D.C. United","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",100,"Dominic Oduro","Lovel Palmer","Brian Ching",0,0
"6/2/10","New York Red Bulls","Houston Dynamo","New York Red Bulls","New York Red Bulls","FALSE",15,"Sinisa Ubiparipovic","Chris Albright","",0,0
"4/24/10","Chicago Fire","Houston Dynamo","Chicago Fire","Chicago Fire","FALSE",67,"Peter Lowry","Patrick Nyarko","",0,0
"9/25/10","D.C. United","Houston Dynamo","D.C. United","D.C. United","FALSE",29,"Andy Najar","Santino Quaranta","",0,0
"8/17/11","New England Revolution","Houston Dynamo","New England Revolution","New England Revolution","FALSE",4,"Ryan Cochrane","","",0,0
"4/2/11","New York Red Bulls","Houston Dynamo","New York Red Bulls","New York Red Bulls","FALSE",47,"Dane Richards","Dwayne De Rosario","",0,0
"7/23/11","Chivas USA","Houston Dynamo","Chivas USA","Chivas USA","FALSE",31,"Justin Braun","Ante Jazic","",0,0
"9/14/11","Columbus Crew","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",86,"Calen Carr","Danny Cruz","Geoff Cameron",0,0
"3/25/11","Seattle Sounders","Houston Dynamo","Seattle Sounders","Seattle Sounders","FALSE",80,"Steve Zakuani","","",0,0
"8/6/11","Philadelphia Union","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",84,"Geoff Cameron","","",0,0
"4/23/11","Chicago Fire","Houston Dynamo","Chicago Fire","Chicago Fire","FALSE",18,"Diego Chaves","Marco Pappa","",0,0
"9/14/11","Columbus Crew","Houston Dynamo","Columbus Crew","Columbus Crew","FALSE",64,"Andres Mendoza","","",0,0
"7/23/11","Chivas USA","Houston Dynamo","Chivas USA","Chivas USA","FALSE",40,"Justin Braun","Blair Gavin","",0,0
"6/4/11","San Jose Earthquakes","Houston Dynamo","San Jose Earthquakes","San Jose Earthquakes","FALSE",91,"Simon Dawkins","Sam Cronin","",0,0
"3/25/11","Seattle Sounders","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",42,"Geoff Cameron","","",0,0
