date,home_team,away_team,team_goals,player_team,own_goal,minute,player,assist1,assist2,OTgoal,ETgoal
"3/30/08","FC Dallas","Chivas USA","Chivas USA","Chivas USA","FALSE",84,"Maykel Galindo","","",0,0
"8/9/08","Sporting Kansas City","Chivas USA","Sporting Kansas City","Sporting Kansas City","FALSE",22,"Sasha Victorine","Matt Marquess","Claudio Lí_pez",0,0
"6/5/08","New York Red Bulls","Chivas USA","New York Red Bulls","New York Red Bulls","FALSE",75,"Juan Pablo Angel","Chris Leitch","Dane Richards",0,0
"4/26/08","LA Galaxy","Chivas USA","LA Galaxy","LA Galaxy","FALSE",84,"Alan Gordon","David Beckham","Landon Donovan",0,0
"4/26/08","LA Galaxy","Chivas USA","LA Galaxy","LA Galaxy","FALSE",18,"Landon Donovan","","",0,0
"8/9/08","Sporting Kansas City","Chivas USA","Sporting Kansas City","Sporting Kansas City","FALSE",58,"Davy Arnaud","Aaron Hohlbein","",0,0
"4/12/08","Columbus Crew","Chivas USA","Columbus Crew","Columbus Crew","FALSE",26,"Guillermo Barros Schelotto","","",0,0
"8/26/09","Real Salt Lake","Chivas USA","Real Salt Lake","Real Salt Lake","FALSE",85,"Robbie Findley","Chris Wingert","",0,0
"6/14/09","Columbus Crew","Chivas USA","Columbus Crew","Columbus Crew","FALSE",61,"Guillermo Barros Schelotto","","",0,0
"8/8/09","Colorado Rapids","Chivas USA","Colorado Rapids","Colorado Rapids","FALSE",4,"Conor Casey","Omar Cummings","",0,0
"8/15/09","New York Red Bulls","Chivas USA","Chivas USA","Chivas USA","FALSE",92,"Eduardo Lillingston","Sasha Kljestan","Michael Lahoud",0,0
"8/8/09","Colorado Rapids","Chivas USA","Colorado Rapids","Colorado Rapids","FALSE",1,"Pablo Mastroeni","Omar Cummings","",0,0
"7/19/09","New England Revolution","Chivas USA","New England Revolution","New England Revolution","FALSE",77,"Steve Ralston","","",0,0
"10/3/09","D.C. United","Chivas USA","Chivas USA","Chivas USA","FALSE",53,"Jesus Padilla","","",0,0
"7/19/09","New England Revolution","Chivas USA","New England Revolution","New England Revolution","FALSE",61,"Kheli Dube","Chris Tierney","Shalrie Joseph",0,0
"8/8/09","Colorado Rapids","Chivas USA","Colorado Rapids","Colorado Rapids","FALSE",47,"Conor Casey","PEN","",0,1
"8/15/09","New York Red Bulls","Chivas USA","Chivas USA","Chivas USA","FALSE",14,"Maykel Galindo","Bojan Stepanovic","Chukwudi Chijindu",0,0
"8/26/09","Real Salt Lake","Chivas USA","Real Salt Lake","Real Salt Lake","FALSE",43,"Pablo Campos","Fabiíçn Espí_ndola","Kyle Beckerman",0,0
"5/23/09","Sporting Kansas City","Chivas USA","Sporting Kansas City","Sporting Kansas City","FALSE",56,"Claudio Lopez","","",0,0
"8/26/09","Real Salt Lake","Chivas USA","Real Salt Lake","Real Salt Lake","FALSE",90,"Robbie Findley","Clint Mathis","",0,0
"6/14/09","Columbus Crew","Chivas USA","Chivas USA","Chivas USA","FALSE",39,"Eduardo Lillingston","","",0,0
"10/3/09","D.C. United","Chivas USA","Chivas USA","D.C. United","TRUE",32,"Milos Kocic","","",0,0
"5/23/09","Sporting Kansas City","Chivas USA","Chivas USA","Chivas USA","FALSE",64,"Eduardo Lillingston","Sasha Victorine","",0,0
"3/29/09","FC Dallas","Chivas USA","Chivas USA","Chivas USA","FALSE",56,"Eduardo Lillingston","Gerson Mayí©n","",0,0
"8/29/09","LA Galaxy","Chivas USA","LA Galaxy","LA Galaxy","FALSE",80,"David Beckham","Todd Dunivant","Omar Gonzalez",0,0
"8/26/09","Real Salt Lake","Chivas USA","Real Salt Lake","Real Salt Lake","FALSE",75,"Fabian Espindola","","",0,0
"6/10/09","Houston Dynamo","Chivas USA","Houston Dynamo","Houston Dynamo","FALSE",47,"Stuart Holden","Cam Weaver","",0,1
"10/22/09","Chicago Fire","Chivas USA","Chicago Fire","Chivas USA","TRUE",67,"Eduardo Lillingston","","",0,0
"4/22/09","Toronto FC","Chivas USA","Toronto FC","Toronto FC","FALSE",36,"Amado Guevara","","",0,0
"8/8/09","Colorado Rapids","Chivas USA","Colorado Rapids","Colorado Rapids","FALSE",23,"Conor Casey","Kosuke Kimura","Omar Cummings",0,0
"6/14/09","Columbus Crew","Chivas USA","Columbus Crew","Columbus Crew","FALSE",87,"Guillermo Barros Schelotto","Gino Padula","",0,0
"5/2/09","San Jose Earthquakes","Chivas USA","Chivas USA","Chivas USA","FALSE",53,"Justin Braun","Jonathan Bornstein","",0,0
"3/29/09","FC Dallas","Chivas USA","Chivas USA","Chivas USA","FALSE",75,"Bojan Stepanovic","","",0,0
"10/20/10","San Jose Earthquakes","Chivas USA","San Jose Earthquakes","San Jose Earthquakes","FALSE",72,"Chris Wondolowski","Brandon McDonald","Ryan Johnson",0,0
"8/7/10","Toronto FC","Chivas USA","Toronto FC","Toronto FC","FALSE",21,"Nana Attakora","Dan Gargan","",0,0
"7/10/10","Sporting Kansas City","Chivas USA","Chivas USA","Chivas USA","FALSE",87,"Justin Braun","","",0,0
"10/20/10","San Jose Earthquakes","Chivas USA","San Jose Earthquakes","San Jose Earthquakes","FALSE",55,"Chris Wondolowski","","",0,0
"10/15/10","Seattle Sounders","Chivas USA","Chivas USA","Chivas USA","FALSE",92,"Jesus Padilla","Rodolfo Espinoza","",0,0
"5/29/10","D.C. United","Chivas USA","D.C. United","D.C. United","FALSE",92,"Carey Talley","","",0,0
"5/5/10","New England Revolution","Chivas USA","Chivas USA","Chivas USA","FALSE",26,"Jesus Padilla","Justin Braun","",0,0
"6/5/10","New York Red Bulls","Chivas USA","New York Red Bulls","New York Red Bulls","FALSE",27,"Seth Stammler","","",0,0
"4/17/10","Houston Dynamo","Chivas USA","Houston Dynamo","Houston Dynamo","FALSE",12,"Geoff Cameron","Eddie Robinson","Corey Ashe",0,0
"4/1/10","LA Galaxy","Chivas USA","LA Galaxy","LA Galaxy","FALSE",7,"Edson Buddle","Landon Donovan","Sean Franklin",0,0
"5/29/10","D.C. United","Chivas USA","Chivas USA","Chivas USA","FALSE",16,"Justin Braun","Michael Lahoud","",0,0
"5/5/10","New England Revolution","Chivas USA","Chivas USA","Chivas USA","FALSE",48,"Jesus Padilla","Justin Braun","Sasha Kljestan",0,0
"9/25/10","Philadelphia Union","Chivas USA","Philadelphia Union","Philadelphia Union","FALSE",25,"Alejandro Moreno","Justin Mapp","",0,0
"8/7/10","Toronto FC","Chivas USA","Chivas USA","Chivas USA","FALSE",66,"Giancarlo Maldonado","","",0,0
"9/4/10","Colorado Rapids","Chivas USA","Colorado Rapids","Colorado Rapids","FALSE",81,"Omar Cummings","","",0,0
"5/29/10","D.C. United","Chivas USA","D.C. United","D.C. United","FALSE",26,"Andy Najar","Rodney Wallace","",0,0
"5/29/10","D.C. United","Chivas USA","Chivas USA","Chivas USA","FALSE",80,"Maykel Galindo","Sasha Kljestan","Justin Braun",0,0
"5/1/10","Chicago Fire","Chivas USA","Chicago Fire","Chicago Fire","FALSE",52,"Baggio Husidic","Marco Pappa","Patrick Nyarko",0,0
"5/5/10","New England Revolution","Chivas USA","Chivas USA","Chivas USA","FALSE",81,"Blair Gavin","","",0,0
"9/4/10","Colorado Rapids","Chivas USA","Colorado Rapids","Colorado Rapids","FALSE",68,"Omar Cummings","Mehdi Ballouchy","",0,0
"9/25/10","Philadelphia Union","Chivas USA","Philadelphia Union","Philadelphia Union","FALSE",48,"Fred","","",0,1
"7/24/10","Real Salt Lake","Chivas USA","Chivas USA","Chivas USA","FALSE",70,"Jesus Padilla","","",0,0
"5/1/10","Chicago Fire","Chivas USA","Chivas USA","Chivas USA","FALSE",76,"Maicon Santos","Sasha Kljestan","",0,0
"8/21/10","FC Dallas","Chivas USA","FC Dallas","FC Dallas","FALSE",71,"Brek Shea","David Ferreira","Jaí_r Bení_tez",0,0
"7/10/10","Sporting Kansas City","Chivas USA","Chivas USA","Chivas USA","FALSE",56,"Justin Braun","","",0,0
"7/24/10","Real Salt Lake","Chivas USA","Real Salt Lake","Real Salt Lake","FALSE",66,"Ned Grabavoy","","",0,0
"5/15/10","Columbus Crew","Chivas USA","Columbus Crew","Columbus Crew","FALSE",90,"Guillermo Barros Schelotto","","",0,0
"10/15/10","Seattle Sounders","Chivas USA","Seattle Sounders","Seattle Sounders","FALSE",25,"Osvaldo Alonso","Fredy Montero","Steve Zakuani",0,0
"4/1/10","LA Galaxy","Chivas USA","LA Galaxy","LA Galaxy","FALSE",87,"Edson Buddle","Mike Magee","Landon Donovan",0,0
"8/7/10","Toronto FC","Chivas USA","Toronto FC","Toronto FC","FALSE",32,"Chad Barrett","Jacob Peterson","Maicon Santos",0,0
"10/20/10","San Jose Earthquakes","Chivas USA","San Jose Earthquakes","San Jose Earthquakes","FALSE",1,"Chris Wondolowski","Eduardo","",0,0
"5/29/10","D.C. United","Chivas USA","D.C. United","D.C. United","FALSE",76,"Adam Cristman","","",0,0
"9/4/10","Colorado Rapids","Chivas USA","Colorado Rapids","Colorado Rapids","FALSE",52,"Conor Casey","","",0,0
"9/25/10","Philadelphia Union","Chivas USA","Philadelphia Union","Philadelphia Union","FALSE",69,"Sebastien Le Toux","","",0,0
"5/5/10","New England Revolution","Chivas USA","Chivas USA","Chivas USA","FALSE",33,"Justin Braun","Mariano Trujillo","",0,0
"10/15/10","Seattle Sounders","Chivas USA","Seattle Sounders","Seattle Sounders","FALSE",9,"Steve Zakuani","Jeff Parke","",0,0
"4/17/10","Houston Dynamo","Chivas USA","Houston Dynamo","Houston Dynamo","FALSE",65,"Dominic Oduro","Mike Chabala","Brad Davis",0,0
"4/17/10","Houston Dynamo","Chivas USA","Houston Dynamo","Houston Dynamo","FALSE",20,"Lovel Palmer","Mike Chabala","",0,0
"9/17/11","Chicago Fire","Chivas USA","Chicago Fire","Chivas USA","TRUE",26,"Juan Pablo Angel","","",0,0
"7/9/11","Sporting Kansas City","Chivas USA","Sporting Kansas City","Sporting Kansas City","FALSE",93,"Omar Bravo","","",0,0
"8/6/11","New England Revolution","Chivas USA","Chivas USA","Chivas USA","FALSE",80,"Alejandro Moreno","Justin Braun","Ante Jazic",0,0
"5/28/11","Columbus Crew","Chivas USA","Columbus Crew","Columbus Crew","FALSE",17,"Andres Mendoza","Emmanuel Ekpo","",0,0
"4/23/11","San Jose Earthquakes","Chivas USA","Chivas USA","Chivas USA","FALSE",46,"Alejandro Moreno","Heath Pearce","",0,1
"6/25/11","Philadelphia Union","Chivas USA","Philadelphia Union","Philadelphia Union","FALSE",48,"Veljko Paunovic","Justin Mapp","",0,0
"5/15/11","New York Red Bulls","Chivas USA","Chivas USA","Chivas USA","FALSE",31,"Justin Braun","Heath Pearce","Ante Jazic",0,0
"6/25/11","Philadelphia Union","Chivas USA","Chivas USA","Chivas USA","FALSE",77,"Justin Braun","Jorge Villafaí±a","",0,0
"9/17/11","Chicago Fire","Chivas USA","Chivas USA","Chivas USA","FALSE",63,"Nick LaBrocca","Zarek Valentin","",0,0
"5/15/11","New York Red Bulls","Chivas USA","Chivas USA","Chivas USA","FALSE",56,"Justin Braun","","",0,0
"6/25/11","Philadelphia Union","Chivas USA","Philadelphia Union","Philadelphia Union","FALSE",69,"Carlos Ruiz","Veljko PaunoviÛˆ","",0,0
"4/23/11","San Jose Earthquakes","Chivas USA","San Jose Earthquakes","San Jose Earthquakes","FALSE",16,"Chris Wondolowski","Ramiro Corrales","Khari Stephenson",0,0
"8/20/11","Colorado Rapids","Chivas USA","Chivas USA","Chivas USA","FALSE",86,"Laurent Courtois","Michael Lahoud","",0,0
"8/6/11","New England Revolution","Chivas USA","Chivas USA","Chivas USA","FALSE",31,"Alejandro Moreno","Simon Elliott","Nick LaBrocca",0,0
"8/20/11","Colorado Rapids","Chivas USA","Colorado Rapids","Colorado Rapids","FALSE",13,"Caleb Folan","Kosuke Kimura","Pablo Mastroeni",0,0
"9/21/11","D.C. United","Chivas USA","Chivas USA","Chivas USA","FALSE",57,"Juan Pablo Angel","Nick LaBrocca","",0,0
"8/6/11","New England Revolution","Chivas USA","New England Revolution","New England Revolution","FALSE",69,"Shalrie Joseph","","",0,0
"6/25/11","Philadelphia Union","Chivas USA","Chivas USA","Chivas USA","FALSE",28,"Michael Umana","Ben Zemanski","",0,0
"6/11/11","Houston Dynamo","Chivas USA","Chivas USA","Chivas USA","FALSE",7,"Marcos Mondaini","","",0,0
"5/28/11","Columbus Crew","Chivas USA","Chivas USA","Chivas USA","FALSE",4,"Nick LaBrocca","Simon Elliott","Justin Braun",0,0
"9/17/11","Chicago Fire","Chivas USA","Chivas USA","Chivas USA","FALSE",61,"Juan Pablo Angel","Mariano Trujillo","",0,0
"5/28/11","Columbus Crew","Chivas USA","Chivas USA","Chivas USA","FALSE",57,"Jorge Villafana","Ante Jazic","Ben Zemanski",0,0
"8/20/11","Colorado Rapids","Chivas USA","Chivas USA","Chivas USA","FALSE",36,"Juan Pablo Angel","Nick LaBrocca","",0,0
"5/15/11","New York Red Bulls","Chivas USA","New York Red Bulls","New York Red Bulls","FALSE",35,"Dwayne De Rosario","","",0,0
"9/21/11","D.C. United","Chivas USA","Chivas USA","Chivas USA","FALSE",69,"Juan Pablo Angel","Ante Jazic","",0,0
"5/28/11","Columbus Crew","Chivas USA","Chivas USA","Chivas USA","FALSE",37,"Andrew Boyens","Heath Pearce","",0,0
"8/24/11","Portland Timbers","Chivas USA","Portland Timbers","Portland Timbers","FALSE",44,"Eric Brunner","Mike Chabala","",0,0
"7/31/11","FC Dallas","Chivas USA","FC Dallas","FC Dallas","FALSE",26,"Marvin Chavez","Ruben Luna","",0,0
"6/25/11","Philadelphia Union","Chivas USA","Philadelphia Union","Philadelphia Union","FALSE",82,"Danny Mwanga","Sí©bastien Le Toux","",0,0
"5/15/11","New York Red Bulls","Chivas USA","New York Red Bulls","New York Red Bulls","FALSE",21,"Thierry Henry","Rafael Míçrquez","",0,0
"9/17/11","Chicago Fire","Chivas USA","Chicago Fire","Chicago Fire","FALSE",2,"Cory Gibbs","Sebastiíçn Grazzini","",0,0
"9/21/11","D.C. United","Chivas USA","D.C. United","D.C. United","FALSE",39,"Dwayne De Rosario","Andy Najar","",0,0
"5/7/11","Real Salt Lake","Chivas USA","Real Salt Lake","Real Salt Lake","FALSE",87,"Will Johnson","Nat Borchers","",0,0
"6/11/11","Houston Dynamo","Chivas USA","Houston Dynamo","Chivas USA","TRUE",56,"Heath Pearce","","",0,0
"8/6/11","New England Revolution","Chivas USA","Chivas USA","Chivas USA","FALSE",7,"Nick LaBrocca","","",0,0
"9/17/11","Chicago Fire","Chivas USA","Chicago Fire","Chicago Fire","FALSE",85,"Dominic Oduro","Diego Chíçves","Patrick Nyarko",0,0
"4/23/11","San Jose Earthquakes","Chivas USA","Chivas USA","Chivas USA","FALSE",85,"Mariano Trujillo","","",0,0
"6/11/11","Houston Dynamo","Chivas USA","Houston Dynamo","Houston Dynamo","FALSE",29,"Geoff Cameron","Brad Davis","",0,0
"7/9/11","Sporting Kansas City","Chivas USA","Chivas USA","Chivas USA","FALSE",30,"Nick LaBrocca","Blair Gavin","Justin Braun",0,0
"9/21/11","D.C. United","Chivas USA","D.C. United","D.C. United","FALSE",47,"Ethan White","","",0,0
"10/16/11","LA Galaxy","Chivas USA","LA Galaxy","LA Galaxy","FALSE",53,"Chad Barrett","Adam Cristman","",0,0
"8/20/11","Colorado Rapids","Chivas USA","Colorado Rapids","Colorado Rapids","FALSE",69,"Jeff Larentowicz","Sanna Nyassi","",0,0
"5/15/11","New York Red Bulls","Chivas USA","Chivas USA","Chivas USA","FALSE",6,"Justin Braun","Nick LaBrocca","",0,0
"8/6/11","New England Revolution","Chivas USA","New England Revolution","New England Revolution","FALSE",86,"Diego Fagundez","Kevin Alston","",0,0
"4/2/11","Toronto FC","Chivas USA","Toronto FC","Toronto FC","FALSE",36,"Alan Gordon","Jacob Peterson","",0,0
"4/2/11","Toronto FC","Chivas USA","Chivas USA","Chivas USA","FALSE",2,"Alejandro Moreno","","",0,0
"5/28/11","Columbus Crew","Chivas USA","Columbus Crew","Columbus Crew","FALSE",52,"Andres Mendoza","","",0,0
"5/28/11","Columbus Crew","Chivas USA","Columbus Crew","Columbus Crew","FALSE",64,"Emmanuel Ekpo","","",0,0
"4/28/12","Colorado Rapids","Chivas USA","Colorado Rapids","Colorado Rapids","FALSE",84,"Jeff Larentowicz","","",0,0
"4/28/12","Colorado Rapids","Chivas USA","Colorado Rapids","Colorado Rapids","FALSE",50,"Tony Cascio","Martí_n Rivero","",0,0
"5/23/12","New York Red Bulls","Chivas USA","Chivas USA","Chivas USA","FALSE",47,"Juan Pablo Angel","Blair Gavin","Rauwshan McKenzie",0,0
"7/21/12","LA Galaxy","Chivas USA","LA Galaxy","LA Galaxy","FALSE",14,"Robbie Keane","Vitor Gomes Pereira Jí?nior","David Beckham",0,0
"8/29/12","New England Revolution","Chivas USA","New England Revolution","New England Revolution","FALSE",21,"Saer Sene","","",0,0
"9/8/12","Seattle Sounders","Chivas USA","Seattle Sounders","Seattle Sounders","FALSE",28,"Eddie Johnson","Christian Tiffert","",0,0
"5/23/12","New York Red Bulls","Chivas USA","New York Red Bulls","New York Red Bulls","FALSE",56,"Kenny Cooper","Brandon Barklage","Dane Richards",0,0
"10/28/12","FC Dallas","Chivas USA","FC Dallas","FC Dallas","FALSE",73,"Jackson Goncalves","David Ferreira","",0,0
"4/28/12","Colorado Rapids","Chivas USA","Colorado Rapids","Colorado Rapids","FALSE",93,"Kamani Hill","","",0,0
"4/7/12","Portland Timbers","Chivas USA","Portland Timbers","Portland Timbers","FALSE",16,"Kris Boyd","","",0,0
"9/19/12","Columbus Crew","Chivas USA","Columbus Crew","Columbus Crew","FALSE",89,"Justin Meram","Jairo Arrieta","",0,0
"8/18/12","Colorado Rapids","Chivas USA","Chivas USA","Chivas USA","FALSE",83,"Juan Pablo Angel","Casey Townsend","Tristan Bowen",0,0
"10/3/12","Vancouver Whitecaps","Chivas USA","Vancouver Whitecaps","Vancouver Whitecaps","FALSE",11,"Gershon Koffie","Kenny Miller","",0,0
"8/29/12","New England Revolution","Chivas USA","Chivas USA","Chivas USA","FALSE",23,"Shalrie Joseph","Nick LaBrocca","",0,0
"8/29/12","New England Revolution","Chivas USA","Chivas USA","Chivas USA","FALSE",47,"Miller Bolanos","Juan Agudelo","Casey Townsend",0,0
"3/24/12","Real Salt Lake","Chivas USA","Chivas USA","Chivas USA","FALSE",72,"Casey Townsend","","",0,0
"9/8/12","Seattle Sounders","Chivas USA","Seattle Sounders","Seattle Sounders","FALSE",89,"Eddie Johnson","Fredy Montero","",0,0
"7/21/12","LA Galaxy","Chivas USA","Chivas USA","Chivas USA","FALSE",52,"Paolo Cardozo","Ryan Smith","",0,0
"7/28/12","Portland Timbers","Chivas USA","Chivas USA","Chivas USA","FALSE",68,"Danny Califf","Ben Zemanski","",0,0
"9/2/12","San Jose Earthquakes","Chivas USA","San Jose Earthquakes","San Jose Earthquakes","FALSE",81,"Ramiro Corrales","","",0,0
"5/13/12","San Jose Earthquakes","Chivas USA","San Jose Earthquakes","San Jose Earthquakes","FALSE",88,"Alan Gordon","Sam Garza","",0,0
"8/29/12","New England Revolution","Chivas USA","Chivas USA","Chivas USA","FALSE",46,"Shalrie Joseph","Juan Agudelo","",0,1
"7/21/12","LA Galaxy","Chivas USA","LA Galaxy","LA Galaxy","FALSE",78,"Landon Donovan","Omar Gonzalez","Bryan Gaul",0,0
"8/29/12","New England Revolution","Chivas USA","New England Revolution","New England Revolution","FALSE",4,"Saer Sene","","",0,0
"10/28/12","FC Dallas","Chivas USA","Chivas USA","Chivas USA","FALSE",94,"Juan Agudelo","Ryan Smith","Laurent Courtois",0,0
"5/13/12","San Jose Earthquakes","Chivas USA","Chivas USA","Chivas USA","FALSE",4,"Jose Erick Correa","Miller Bolaí±os","James Riley",0,0
"8/29/12","New England Revolution","Chivas USA","New England Revolution","Chivas USA","TRUE",11,"Rauwshan McKenzie","","",0,0
"9/2/12","San Jose Earthquakes","Chivas USA","San Jose Earthquakes","San Jose Earthquakes","FALSE",71,"Ramiro Corrales","","",0,0
"9/2/12","San Jose Earthquakes","Chivas USA","San Jose Earthquakes","San Jose Earthquakes","FALSE",11,"Victor Bernardez","","",0,0
"4/28/12","Colorado Rapids","Chivas USA","Colorado Rapids","Colorado Rapids","FALSE",82,"Kamani Hill","Tony Cascio","Omar Cummings",0,0
"9/2/12","San Jose Earthquakes","Chivas USA","San Jose Earthquakes","San Jose Earthquakes","FALSE",39,"Simon Dawkins","Chris Wondolowski","",0,0
"9/23/12","D.C. United","Chivas USA","D.C. United","D.C. United","FALSE",64,"Branko Boskovic","Lionard Pajoy","",0,0
"4/7/12","Portland Timbers","Chivas USA","Chivas USA","Chivas USA","FALSE",82,"Nick LaBrocca","Ryan Smith","",0,0
"4/7/12","Portland Timbers","Chivas USA","Chivas USA","Chivas USA","FALSE",48,"Alejandro Moreno","Ryan Smith","",0,0
"7/21/12","LA Galaxy","Chivas USA","LA Galaxy","LA Galaxy","FALSE",48,"Landon Donovan","David Beckham","Robbie Keane",0,0
"4/14/12","Toronto FC","Chivas USA","Chivas USA","Chivas USA","FALSE",31,"Oswaldo Minda","Miller Bolaí±os","",0,0
"10/3/12","Vancouver Whitecaps","Chivas USA","Vancouver Whitecaps","Vancouver Whitecaps","FALSE",73,"Barry Robson","Camilo Da Silva Sanvezzo","",0,0
"10/3/12","Vancouver Whitecaps","Chivas USA","Vancouver Whitecaps","Vancouver Whitecaps","FALSE",35,"Dane Richards","Camilo Da Silva Sanvezzo","",0,0
"8/18/12","Colorado Rapids","Chivas USA","Colorado Rapids","Colorado Rapids","FALSE",19,"Brian Mullan","","",0,0
"10/28/12","FC Dallas","Chivas USA","FC Dallas","FC Dallas","FALSE",80,"Fabian Castillo","David Ferreira","",0,0
"10/28/12","FC Dallas","Chivas USA","Chivas USA","Chivas USA","FALSE",90,"Laurent Courtois","Ben Zemanski","",0,0
"10/3/12","Vancouver Whitecaps","Chivas USA","Vancouver Whitecaps","Vancouver Whitecaps","FALSE",62,"Camilo Sanvezzo","Barry Robson","Dane Richards",0,0
"9/8/12","Seattle Sounders","Chivas USA","Chivas USA","Chivas USA","FALSE",8,"Nick LaBrocca","Miller Bolaí±os","Shalrie Joseph",0,0
"5/25/13","Colorado Rapids","Chivas USA","Colorado Rapids","Colorado Rapids","FALSE",78,"Nathan Sturgis","Brian Mullan","Deshorn Brown",0,0
"3/24/13","Chicago Fire","Chivas USA","Chivas USA","Chivas USA","FALSE",57,"Edgar Mejia","Juan Agudelo","",0,0
"5/25/13","Colorado Rapids","Chivas USA","Colorado Rapids","Colorado Rapids","FALSE",11,"Atiba Harris","Deshorn Brown","Chris Klute",0,0
"5/12/13","Portland Timbers","Chivas USA","Portland Timbers","Portland Timbers","FALSE",70,"Diego Valeri","Darlington Nagbe","Rodney Wallace",0,0
"6/19/13","Vancouver Whitecaps","Chivas USA","Chivas USA","Chivas USA","FALSE",7,"Tristan Bowen","Carlos í?lvarez","",0,0
"3/17/13","LA Galaxy","Chivas USA","Chivas USA","Chivas USA","FALSE",89,"Carlos Alvarez","Eric Avila","Carlos Borja",0,0
"3/24/13","Chicago Fire","Chivas USA","Chivas USA","Chicago Fire","TRUE",89,"Jalil Anibaba","","",0,0
"5/5/13","Sporting Kansas City","Chivas USA","Sporting Kansas City","Sporting Kansas City","FALSE",41,"Claudio Bieler","Graham Zusi","",0,0
"3/24/13","Chicago Fire","Chivas USA","Chivas USA","Chivas USA","FALSE",73,"Joaquin Velazquez","Edgar Mejí_a","",0,0
"7/28/13","Seattle Sounders","Chivas USA","Seattle Sounders","Seattle Sounders","FALSE",57,"Lamar Neagle","Mauro Rosales","Obafemi Martins",0,0
"7/12/13","Philadelphia Union","Chivas USA","Chivas USA","Chivas USA","FALSE",14,"Jose Erick Correa","Jorge Villafaí±a","",0,0
"6/19/13","Vancouver Whitecaps","Chivas USA","Vancouver Whitecaps","Vancouver Whitecaps","FALSE",47,"Jordan Harvey","Russell Teibert","Camilo Da Silva Sanvezzo",0,1
"7/7/13","Montreal Impact","Chivas USA","Chivas USA","Chivas USA","FALSE",55,"Eric Avila","","",0,0
"7/12/13","Philadelphia Union","Chivas USA","Philadelphia Union","Philadelphia Union","FALSE",58,"Brian Carroll","Sí©bastien Le Toux","Conor Casey",0,0
"3/24/13","Chicago Fire","Chivas USA","Chivas USA","Chivas USA","FALSE",75,"Juan Agudelo","Jorge Villafaí±a","",0,0
"3/17/13","LA Galaxy","Chivas USA","LA Galaxy","LA Galaxy","FALSE",83,"Jack McBean","","",0,0
"5/12/13","Portland Timbers","Chivas USA","Portland Timbers","Portland Timbers","FALSE",92,"Will Johnson","Diego Víçleri","Kalif Alhassan",0,0
"5/5/13","Sporting Kansas City","Chivas USA","Sporting Kansas City","Sporting Kansas City","FALSE",57,"Claudio Bieler","","",0,0
"7/7/13","Montreal Impact","Chivas USA","Montreal Impact","Montreal Impact","FALSE",80,"Patrice Bernier","","",0,0
"7/12/13","Philadelphia Union","Chivas USA","Philadelphia Union","Philadelphia Union","FALSE",89,"Conor Casey","Fabinho","",0,0
"7/28/13","Seattle Sounders","Chivas USA","Chivas USA","Chivas USA","FALSE",16,"Erick Torres","Carlos Alvarez","",0,0
"7/12/13","Philadelphia Union","Chivas USA","Philadelphia Union","Philadelphia Union","FALSE",82,"Michael Farfan","Sí©bastien Le Toux","",0,0
"3/24/13","Chicago Fire","Chivas USA","Chicago Fire","Chicago Fire","FALSE",64,"Patrick Nyarko","Maicon Santos","Sherjill MacDonald",0,0
"7/28/13","Seattle Sounders","Chivas USA","Seattle Sounders","Seattle Sounders","FALSE",23,"Brad Evans","Obafemi Martins","",0,0
"4/20/13","Real Salt Lake","Chivas USA","Real Salt Lake","Real Salt Lake","FALSE",53,"Javier Morales","Olmes Garcí_a","í?lvaro Saborí_o",0,0
"5/12/13","Portland Timbers","Chivas USA","Portland Timbers","Portland Timbers","FALSE",34,"Rodney Wallace","Diego Víçleri","Ryan Johnson",0,0
"5/5/13","Sporting Kansas City","Chivas USA","Sporting Kansas City","Sporting Kansas City","FALSE",87,"C.J. Sapong","Oriol Rosell","Mechack Jí©ríÇme",0,0
"6/19/13","Vancouver Whitecaps","Chivas USA","Vancouver Whitecaps","Vancouver Whitecaps","FALSE",81,"Camilo Sanvezzo","","",0,0
"5/5/13","Sporting Kansas City","Chivas USA","Sporting Kansas City","Sporting Kansas City","FALSE",65,"Graham Zusi","Paulo Nagamura","Josh Gardner",0,0
"6/19/13","Vancouver Whitecaps","Chivas USA","Vancouver Whitecaps","Vancouver Whitecaps","FALSE",49,"Camilo Sanvezzo","Russell Teibert","",0,1
"6/15/96","FC Dallas","Colorado Rapids","FC Dallas","FC Dallas","FALSE",73,"Hugo Sanchez","Mark Santel","",0,0
"6/26/96","LA Galaxy","Colorado Rapids","Colorado Rapids","Colorado Rapids","FALSE",4,"Shaun Bartlett","Felipe Rodriguez","",0,0
"4/13/96","Sporting Kansas City","Colorado Rapids","Sporting Kansas City","Sporting Kansas City","FALSE",83,"Vitalis Takawira","Eric Eichmann","",0,0
"5/8/96","San Jose Earthquakes","Colorado Rapids","San Jose Earthquakes","San Jose Earthquakes","FALSE",72,"Tim Martin","Paul Bravo","",0,0
"6/19/96","Columbus Crew","Colorado Rapids","Columbus Crew","Columbus Crew","FALSE",58,"Marcelo Carrera","Adriíçn Paz","Billy Thompson",0,0
"5/19/96","Columbus Crew","Colorado Rapids","Colorado Rapids","Colorado Rapids","FALSE",73,"Shaun Bartlett","Roy Wegerle","",0,0
"9/21/96","D.C. United","Colorado Rapids","D.C. United","D.C. United","FALSE",53,"Raul Diaz Arce","","",0,0
